
NORMAL      SMOOTH      DATE                   
----------- ----------- -----------------------
    3203850     3081775 200601                 
    2959700     3202750 200602                 
    3444700     3212206 200603                 
    3232220     3316485 200604                 
    3272535     3356093 200605                 
    3563525     3473380 200606                 
    3584080     3615710 200607                 
    3699525     3584105 200608                 
    3468710     3593795 200609                 
    3613150     3373753 200610                 
    3039400     3418240 200611                 
    3602170     3483323 200612                 
    3808400     3563503 200701                 
    3279940     3624066 200702                 
    3783860     3533310 200703                 
    3536130     3713493 200704                 
    3820490     3730407 200705                 
    3834601     3842777 200706                 
    3873240     3866128 200707                 
    3890545     3746571 200708                 
    3475930     3772458 200709                 
    3950900     3761743 200710                 
    3858400     3955833 200711                 
    4058200     3992131 200712                 
    4059795     3954495 200801                 
    3745490     3924998 200802                 
    3969710     3875833 200803                 
    3912300     3972146 200804                 
    4034430     3966798 200805                 
    3953665     4072555 200806                 
    4229570     4047021 200807                 
    3957830     4068266 200808                 
    4017400     4088078 200809                 
    4289005     4039101 200810                 
    3810900     4186903 200811                 
    4460805     4125441 200812                 
    4104620     4205863 200901                 
    4052165     4172185 200902                 
    4359770     4225298 200903                 
    4263960     4272378 200904                 
    4193405     4317358 200905                 
    4494710     4372068 200906                 
    4428090     4332580 200907                 
    4074940     4278536 200908                 
    4332580     4300773 200909                 
    4494800     4318051 200910                 
    4126775     4474091 200911                 
    4800700     4296308 200912                 
    3961450     4226213 201001                 
    3916490     4179333 201002                 
    4660060     4327540 201003                 
    4406070     4473140 201004                 
    4353290     4474621 201005                 
    4664505     4539151 201006                 
    4599660     4609581 201007                 
    4564580     4586526 201008                 
    4595340     4566350 201009                 
    4539130     4605690 201010                 
    4682600     4699456 201011                 
    4876640     4715640 201012                 
    4587680     4652486 201101                 
    4493140     4730885 201102                 
    5111835     4722415 201103                 
    4562270     4807298 201104                 
    4747790     4795400 201105                 
    5076140     4743085 201106                 
    4405325     4804285 201107                 
    4931390     4695471 201108                 
    4749700     4747443 201109                 
    4561240     4651286 201110                 
    4642920     4647803 201111                 
    4739250     4570930 201112                 
    4330620     4401566 201201                 
    4134830     4288873 201202                 
    4401170     4167483 201203                 
    3966450     4275590 201204                 
    4459150     4190753 201205                 
    4146660     4243026 201206                 
    4123270     4189196 201207                 
    4297660     4093816 201208                 
    3860520     3940016 201209                 
    3661870     3780783 201210                 
    3819960     3669863 201211                 
    3527760     3825986 201212                 
    4130240     3754026 201301                 
    3604080     3835620 201302                 
    3772540     3773920 201303                 
    3945140     3891320 201304                 
    3956280     3856500 201305                 
    3668080     3881013 201306                 
    4018680     3797026 201307                 
    3704320     3694023 201308                 
    3359070     3635823 201309                 
    3844080     3486073 201310                 
    3255070     3535756 201311                 
    3508120     3410406 201312                 
    3468030     3357933 201401                 
    3097650     3336930 201402                 
    3445110     3302480 201403                 
    3364680     3422913 201404                 
    3458950     3399523 201405                 
    3374940     3524650 201406                 
    3740060     3524513 201407                 
    3458540     3591040 201408                 
    3574520     3560520 201409                 
    3648500     3465253 201410                 
    3172740     3549943 201411                 
    3828590     3500665 201412                 

  108 record(s) selected.


