
ZIP                                                                                                                                                                                                                                                             MMENORM     RANK                
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ----------- --------------------
14642                                                                                                                                                                                                                                                               2908041                    1
14173                                                                                                                                                                                                                                                                 68773                    2
10535                                                                                                                                                                                                                                                                 41523                    3
10107                                                                                                                                                                                                                                                                 40199                    4
14202                                                                                                                                                                                                                                                                 36418                    5
10168                                                                                                                                                                                                                                                                 35936                    6
12754                                                                                                                                                                                                                                                                 34061                    7
12775                                                                                                                                                                                                                                                                 31867                    8
11042                                                                                                                                                                                                                                                                 26588                    9
14203                                                                                                                                                                                                                                                                 25906                   10

  10 record(s) selected.


